,genero,monto,hora,establecimiento,ciudad,tipo_tc,linea_tc,interes_tc,status_txn,is_prime,cashback,fraude,Dia,Sistema,device_score,Flag_dcto
1643,M,774.7156991771094,19,Farmacia,Merida,Física,55000,43,En proceso,0,6.9724412925939845,0,Saturday,.,2,1
1645,M,777.3969090125761,12,Farmacia,Merida,Física,55000,43,Aceptada,0,7.773969090125761,0,Sunday,WEB,5,0
1646,M,645.3639093428357,10,Super,Merida,Física,55000,43,Aceptada,0,6.4536390934283565,0,Thursday,%%,3,0
1648,Error registro,178.08715639639783,21,No registrado,Monterrey,Física,45000,63,Aceptada,0,1.6027844075675806,0,Wednesday,%%,4,1
1649,Error registro,892.6357585519637,3,Abarrotes,Monterrey,Física,45000,63,Aceptada,0,8.926357585519638,0,Wednesday,ANDROID,3,0
1651,Error registro,577.032597624564,4,No registrado,Monterrey,Física,45000,63,Aceptada,0,5.7703259762456405,0,Thursday,WEB,2,0
1652,Error registro,635.9856598112256,18,MPago,Monterrey,Virtual,45000,63,Aceptada,0,12.719713196224513,0,Monday,.,4,0
1653,Error registro,291.00116875048263,19,Farmacia,Monterrey,Virtual,45000,63,Aceptada,0,5.820023375009653,0,Friday,WEB,1,0
1656,Error registro,718.6964481293959,5,Farmacia,Monterrey,Virtual,45000,63,Aceptada,0,14.373928962587918,0,Tuesday,ANDROID,2,0
1657,Error registro,135.28995342514094,6,Restaurante,Monterrey,Física,45000,63,En proceso,0,1.3528995342514094,0,Thursday,WEB,5,0
1658,Error registro,876.3738214225427,3,Super,Monterrey,Física,45000,63,En proceso,0,8.763738214225427,0,Wednesday,ANDROID,2,0
1659,M,727.6440266680858,18,No registrado,No registrado,Física,85000,51,Aceptada,0,7.276440266680858,0,Monday,.,4,0
1660,M,414.30063391895686,15,No registrado,No registrado,Física,85000,51,Aceptada,0,4.143006339189569,0,Friday,.,1,0
1661,M,263.1905911784067,10,MPago,No registrado,Física,85000,51,Aceptada,0,2.3687153206056606,0,Thursday,.,2,1
1663,M,672.1014336055401,18,No registrado,No registrado,Física,85000,51,Aceptada,0,6.048912902449861,1,Wednesday,ANDROID,3,1
1664,M,407.9548147046308,11,Super,No registrado,Virtual,85000,51,En proceso,0,7.343186664683356,0,Wednesday,.,4,1
1665,M,355.5461986565024,2,Super,No registrado,Virtual,85000,51,Aceptada,0,7.110923973130048,0,Saturday,.,3,0
1666,F,26.1888983245705,5,Super,Toluca,Física,72000,63,En proceso,0,0.261888983245705,0,Monday,%%,3,0
1668,F,448.42308705166135,15,MPago,Toluca,Virtual,72000,63,En proceso,0,8.968461741033227,0,Wednesday,%%,3,0
1669,M,557.104003490063,19,No registrado,Monterrey,Física,93000,42,Aceptada,0,5.57104003490063,0,Friday,ANDROID,1,0
1670,M,390.5166787742516,16,No registrado,Monterrey,Física,93000,42,Aceptada,0,3.905166787742516,0,Thursday,%%,4,0
1673,M,553.497611880753,2,Restaurante,No registrado,Física,52000,34,Aceptada,1,5.5349761188075295,0,Wednesday,.,3,0
1675,M,416.74748071814696,10,No registrado,No registrado,Física,52000,34,Aceptada,1,3.7507273264633225,1,Saturday,%%,5,1
1676,F,11.715485419423022,3,Super,No registrado,Física,37000,34,Aceptada,1,0.1054393687748072,0,Tuesday,WEB,3,1
1679,F,362.55852418639154,12,No registrado,No registrado,Virtual,37000,34,Aceptada,1,7.251170483727831,0,Saturday,%%,5,0
1680,F,825.8354083242785,13,Abarrotes,No registrado,Física,37000,34,Rechazada,1,7.432518674918508,0,Monday,ANDROID,3,1
1682,F,349.8809917590564,19,No registrado,No registrado,Física,37000,34,En proceso,1,3.4988099175905645,0,Friday,.,1,0
1684,F,850.3503666722345,9,MPago,No registrado,Física,37000,34,Aceptada,1,7.653153300050111,0,Wednesday,WEB,2,1
1687,F,233.87523749331817,13,Restaurante,No registrado,Virtual,68000,56,Aceptada,0,4.677504749866364,0,Saturday,%%,2,0
1688,F,660.6377725449497,6,No registrado,No registrado,Física,68000,56,Aceptada,0,6.606377725449497,0,Monday,.,3,0
1690,F,901.9633533233894,1,MPago,No registrado,Física,68000,56,Aceptada,0,9.019633533233891,0,Thursday,ANDROID,4,0
1691,F,83.37166575665333,5,No registrado,No registrado,Física,68000,56,Rechazada,0,0.6669733260532267,0,Thursday,.,1,1
1692,F,787.8038373923497,9,MPago,No registrado,Virtual,68000,56,Aceptada,0,14.180469073062294,0,Thursday,ANDROID,1,1
1693,M,87.70097818130829,2,Super,No registrado,Virtual,53000,36,Aceptada,0,1.7540195636261655,0,Monday,WEB,2,0
1696,M,188.83139486490984,1,Super,No registrado,Física,53000,36,En proceso,0,1.8883139486490983,0,Monday,%%,4,0
1697,M,236.35229548120063,11,Restaurante,No registrado,Física,53000,36,Aceptada,0,2.3635229548120065,0,Friday,ANDROID,1,0
1699,M,906.6488495839358,11,Abarrotes,No registrado,Física,53000,36,Aceptada,0,9.06648849583936,0,Wednesday,WEB,4,0
1700,M,420.5368207058385,11,Farmacia,Guadalajara,Física,48000,62,Aceptada,0,4.2053682070583855,0,Thursday,ANDROID,4,0
1701,M,773.1196765577847,18,Restaurante,Guadalajara,Física,48000,62,Aceptada,0,6.958077089020063,0,Wednesday,%%,4,1
1702,M,880.6638094271959,22,Abarrotes,Guadalajara,Física,48000,62,Rechazada,0,8.806638094271959,0,Sunday,ANDROID,4,0
1703,M,118.50698624597156,19,Super,No registrado,Física,55000,40,Aceptada,0,1.1850698624597156,0,Saturday,.,2,0
1704,M,145.0535083573169,2,Abarrotes,Toluca,Física,83000,34,Aceptada,0,1.1604280668585352,0,Thursday,WEB,5,1
1705,M,769.1962048571821,12,No registrado,Toluca,Física,83000,34,Aceptada,0,7.691962048571821,0,Wednesday,WEB,2,0
1706,M,2.4894858706711043,9,No registrado,Toluca,Física,83000,34,Aceptada,0,0.0224053728360399,0,Saturday,WEB,2,1
1708,M,774.4218817377109,14,Abarrotes,Toluca,Física,83000,34,Aceptada,0,7.744218817377109,0,Tuesday,ANDROID,1,0
1709,M,417.5781349293584,21,Super,Monterrey,Física,86000,34,Aceptada,1,4.175781349293584,0,Thursday,.,1,0
1710,M,515.2995251646096,16,No registrado,Monterrey,Física,86000,34,En proceso,1,5.152995251646096,0,Saturday,ANDROID,5,0
1712,M,669.3960434571717,23,No registrado,Monterrey,Virtual,86000,34,Aceptada,1,13.387920869143434,1,Thursday,WEB,5,0
1714,M,892.3490065211755,3,No registrado,Monterrey,Física,50000,45,Aceptada,0,8.923490065211755,0,Thursday,WEB,2,0
1715,M,80.4574571830018,1,No registrado,Monterrey,Física,50000,45,Aceptada,0,0.8045745718300179,0,Tuesday,.,5,0
1717,F,850.078117322595,17,No registrado,No registrado,Virtual,45000,51,Aceptada,0,17.001562346451898,0,Thursday,ANDROID,1,0
1718,F,915.4345185335544,11,Farmacia,No registrado,Física,45000,51,Aceptada,0,9.154345185335544,0,Tuesday,WEB,3,0
1719,F,72.62455943326196,22,MPago,No registrado,Física,45000,51,Aceptada,0,0.7262455943326197,0,Tuesday,%%,5,0
1720,F,261.40777843197924,11,No registrado,No registrado,Física,45000,51,Aceptada,0,2.6140777843197927,0,Saturday,%%,4,0
1721,F,449.2834899177702,1,Super,No registrado,Virtual,45000,51,Aceptada,0,8.985669798355405,0,Tuesday,WEB,5,0
1722,M,661.6830479016263,19,Abarrotes,Monterrey,Física,56000,53,Aceptada,0,5.9551474311146375,0,Saturday,ANDROID,5,1
1723,M,312.74659873598966,13,No registrado,Monterrey,Virtual,56000,53,Aceptada,0,6.254931974719794,1,Thursday,WEB,4,0
1725,M,391.3727525573698,3,No registrado,Monterrey,Virtual,56000,53,Aceptada,0,7.827455051147397,0,Thursday,ANDROID,5,0
1726,F,68.82895564189528,6,MPago,Monterrey,Física,55000,64,Rechazada,1,0.6882895564189527,0,Thursday,ANDROID,1,0
1727,F,440.3087301288786,8,Super,Monterrey,Física,55000,64,Rechazada,1,4.403087301288786,0,Sunday,%%,3,0
1728,F,9.210143463630583,20,No registrado,Monterrey,Virtual,55000,64,Aceptada,1,0.1842028692726116,0,Thursday,ANDROID,2,0
1729,Error registro,154.69241807660262,16,Farmacia,Guadalajara,Física,52000,54,Aceptada,0,1.5469241807660263,0,Friday,WEB,1,0
1730,Error registro,920.3277502293568,10,MPago,Guadalajara,Física,52000,54,Aceptada,0,8.282949752064212,0,Wednesday,%%,4,1
1735,Error registro,540.6888520497214,4,Farmacia,Guadalajara,Virtual,52000,54,Aceptada,0,10.813777040994427,0,Thursday,.,2,0
1738,Error registro,736.2565305979006,12,Restaurante,Guadalajara,Física,52000,54,Aceptada,0,7.362565305979006,0,Wednesday,.,4,0
1739,Error registro,540.3465025392319,15,Restaurante,Guadalajara,Física,52000,54,Aceptada,0,5.403465025392319,0,Sunday,WEB,3,0
1740,F,857.9747083479422,19,MPago,No registrado,Física,78000,56,En proceso,0,7.72177237513148,0,Thursday,ANDROID,3,1
1741,F,30.70316639264248,18,No registrado,No registrado,Física,78000,56,Aceptada,0,0.3070316639264248,1,Wednesday,%%,2,0
1742,F,108.95452722738295,13,Restaurante,No registrado,Virtual,78000,56,Rechazada,0,2.1790905445476594,0,Saturday,.,5,0
1743,F,339.2075311420174,21,No registrado,No registrado,Física,78000,56,Aceptada,0,3.392075311420174,1,Sunday,ANDROID,2,0
1744,F,466.6672986518161,5,No registrado,No registrado,Virtual,78000,56,Aceptada,0,9.333345973036325,0,Thursday,WEB,4,0
1746,F,210.33533433068607,18,No registrado,No registrado,Virtual,78000,56,Rechazada,0,4.206706686613721,0,Wednesday,ANDROID,2,0
1747,F,769.3194652098792,20,Restaurante,No registrado,Física,78000,56,En proceso,0,7.693194652098793,0,Wednesday,WEB,1,0
1748,F,619.7633404566003,20,No registrado,No registrado,Virtual,78000,56,Aceptada,0,11.155740128218806,0,Sunday,%%,4,1
1750,F,609.0341922761205,16,Farmacia,No registrado,Virtual,78000,56,Aceptada,0,12.18068384552241,0,Friday,WEB,2,0
1752,F,459.26876837289296,20,MPago,No registrado,Física,78000,56,Rechazada,0,4.59268768372893,0,Saturday,WEB,1,0
1753,F,339.8114350459557,9,No registrado,No registrado,Virtual,78000,56,Rechazada,0,6.116605830827202,0,Monday,ANDROID,5,1
1754,F,85.24164874961838,3,No registrado,No registrado,Virtual,78000,56,En proceso,0,1.7048329749923676,0,Thursday,.,3,0
1756,M,320.88412054280525,21,No registrado,Guadalajara,Física,58000,50,En proceso,1,3.2088412054280524,0,Tuesday,ANDROID,4,0
1760,M,744.6349022343032,2,Abarrotes,Guadalajara,Física,58000,50,Aceptada,1,7.446349022343033,0,Thursday,%%,4,0
1762,M,18.868623463316748,22,No registrado,Guadalajara,Física,58000,50,Aceptada,1,0.1886862346331674,0,Saturday,WEB,5,0
1763,M,716.61695138068,6,No registrado,Guadalajara,Física,58000,50,En proceso,1,7.1661695138068,0,Saturday,.,3,0
1764,M,595.6019302879649,18,No registrado,Guadalajara,Física,58000,50,Rechazada,1,5.360417372591685,0,Thursday,WEB,2,1
1765,M,694.2035677765609,12,Restaurante,Guadalajara,Física,58000,50,Aceptada,1,6.247832109989049,0,Thursday,%%,5,1
1768,M,305.78834783486184,5,No registrado,Monterrey,Física,90000,44,Aceptada,0,3.0578834783486184,0,Thursday,WEB,2,0
1769,M,395.9504659202428,5,No registrado,No registrado,Física,31000,54,Aceptada,0,3.959504659202429,0,Tuesday,WEB,1,0
1770,M,313.0566658889321,11,Abarrotes,No registrado,Física,31000,54,Aceptada,0,3.1305666588893213,0,Wednesday,WEB,5,0
1771,M,318.74895801231986,4,Farmacia,No registrado,Física,31000,54,Aceptada,0,3.1874895801231986,0,Tuesday,WEB,1,0
1772,M,762.5582455057573,13,Super,No registrado,Virtual,31000,54,Aceptada,0,15.251164910115149,0,Saturday,ANDROID,3,0
1773,M,293.35951854749874,18,No registrado,No registrado,Virtual,31000,54,Aceptada,0,5.867190370949975,0,Thursday,%%,5,0
1778,M,664.2037091568735,9,No registrado,No registrado,Virtual,31000,54,Aceptada,0,13.28407418313747,0,Monday,ANDROID,2,0
1779,M,299.4738605213326,17,Super,No registrado,Virtual,31000,54,Aceptada,0,5.989477210426652,0,Saturday,ANDROID,1,0
1780,M,637.7604251124699,19,Super,No registrado,Física,31000,54,Aceptada,0,6.377604251124699,0,Wednesday,%%,5,0
1782,M,34.265932046433804,7,No registrado,No registrado,Virtual,31000,54,Aceptada,0,0.6167867768358085,0,Thursday,WEB,4,1
1785,M,542.4881676808116,14,Abarrotes,No registrado,Física,31000,54,Aceptada,0,4.882393509127304,1,Thursday,WEB,4,1
1787,M,673.4501771834415,13,Super,Monterrey,Física,96000,42,Aceptada,0,6.061051594650974,0,Tuesday,%%,2,1
1788,M,862.532915792354,12,Abarrotes,Monterrey,Física,96000,42,Rechazada,0,7.762796242131186,0,Sunday,WEB,3,1
1789,M,91.12044925820396,10,Super,Monterrey,Física,96000,42,Aceptada,0,0.8200840433238356,0,Tuesday,.,4,1
1790,F,838.7531032741841,10,MPago,Monterrey,Física,99000,46,En proceso,0,7.548777929467658,0,Saturday,ANDROID,3,1
1791,F,819.045647606399,1,Super,Monterrey,Física,99000,46,Aceptada,0,8.190456476063991,0,Friday,ANDROID,1,0
1793,F,791.6723431842895,9,No registrado,Monterrey,Física,99000,46,Aceptada,0,7.125051088658606,0,Thursday,%%,3,1
1794,F,969.873399150379,3,No registrado,No registrado,Virtual,65000,64,Aceptada,0,17.457721184706823,0,Saturday,.,3,1
1795,F,89.33114038633893,11,No registrado,No registrado,Física,65000,64,Aceptada,0,0.8933114038633894,0,Thursday,WEB,4,0
1796,F,847.3354178791849,6,Restaurante,No registrado,Virtual,65000,64,Aceptada,0,16.9467083575837,0,Wednesday,%%,5,0
1797,F,478.88964340339936,2,Super,No registrado,Física,65000,64,En proceso,0,4.788896434033994,0,Monday,ANDROID,4,0
1798,F,979.641921740096,19,MPago,No registrado,Física,65000,64,Aceptada,0,9.79641921740096,0,Thursday,ANDROID,2,0
1799,F,805.9261277562878,10,MPago,No registrado,Física,65000,64,En proceso,0,7.253335149806591,0,Saturday,ANDROID,5,1
1800,F,753.1219053160969,20,Super,No registrado,Virtual,65000,64,Aceptada,0,13.556194295689744,0,Wednesday,%%,2,1
1801,F,466.25224832555966,21,Farmacia,No registrado,Virtual,65000,64,Aceptada,0,9.325044966511191,0,Thursday,.,2,0
1802,F,968.7929528339344,12,Restaurante,No registrado,Virtual,65000,64,Aceptada,0,19.37585905667869,0,Thursday,WEB,3,0
1804,Error registro,686.2076825776151,6,No registrado,No registrado,Física,26000,52,Aceptada,0,6.862076825776151,0,Saturday,.,5,0
1806,Error registro,951.010394822212,23,No registrado,No registrado,Física,26000,52,Aceptada,0,9.51010394822212,0,Wednesday,WEB,3,0
1808,Error registro,723.3703637386449,17,No registrado,No registrado,Física,26000,52,En proceso,0,7.233703637386449,0,Saturday,.,4,0
1809,Error registro,756.2749273237789,20,MPago,No registrado,Virtual,26000,52,Aceptada,0,13.61294869182802,0,Wednesday,ANDROID,3,1
1810,Error registro,670.2849798561799,15,Super,No registrado,Física,26000,52,Aceptada,0,6.702849798561799,0,Sunday,WEB,2,0
1813,Error registro,164.5184179540924,3,Restaurante,No registrado,Física,26000,52,Aceptada,0,1.645184179540924,0,Tuesday,.,5,0
1814,Error registro,199.97735384738624,1,MPago,No registrado,Física,26000,52,Aceptada,0,1.9997735384738624,0,Thursday,.,1,0
1816,Error registro,961.1155482595802,18,No registrado,No registrado,Física,26000,52,Aceptada,0,9.611155482595803,0,Saturday,ANDROID,3,0
1818,Error registro,165.70335185920771,3,Super,No registrado,Física,38000,53,Aceptada,0,1.6570335185920773,0,Sunday,.,2,0
1819,Error registro,475.1776837749246,18,Super,No registrado,Física,38000,53,Rechazada,0,4.751776837749246,0,Thursday,WEB,4,0
1821,Error registro,866.4942970530053,18,Restaurante,No registrado,Virtual,38000,53,Rechazada,0,17.329885941060105,0,Friday,%%,1,0
1822,Error registro,569.6882715906454,16,No registrado,No registrado,Física,38000,53,Aceptada,0,5.696882715906454,1,Saturday,.,4,0
1823,Error registro,522.7971849757195,2,No registrado,No registrado,Física,38000,53,Aceptada,0,5.2279718497571945,0,Tuesday,WEB,4,0
1824,Error registro,864.233662657555,15,Super,No registrado,Virtual,38000,53,Aceptada,0,15.556205927835991,0,Monday,.,3,1
1825,M,721.4213635629919,7,MPago,No registrado,Física,77000,38,Aceptada,1,5.771370908503936,0,Sunday,.,5,1
1826,M,677.5028063486204,22,No registrado,No registrado,Física,77000,38,Aceptada,1,6.775028063486205,0,Wednesday,.,3,0
1827,M,718.5606764218542,3,No registrado,No registrado,Física,77000,38,Aceptada,1,7.185606764218542,0,Wednesday,%%,4,0
1829,M,158.97235799753994,15,Farmacia,No registrado,Física,85000,41,Aceptada,0,1.4307512219778595,0,Saturday,.,2,1
1830,M,828.1896720049547,3,No registrado,No registrado,Física,85000,41,Rechazada,0,7.453707048044592,0,Saturday,WEB,1,1
1831,M,196.9567888950424,9,Restaurante,No registrado,Física,85000,41,Rechazada,0,1.969567888950424,0,Monday,%%,4,0
1832,M,259.8274277549347,13,Abarrotes,No registrado,Virtual,85000,41,Aceptada,0,4.157238844078956,0,Friday,WEB,2,1
1833,M,702.6064532282888,20,No registrado,No registrado,Virtual,85000,41,Aceptada,0,14.052129064565776,0,Wednesday,%%,4,0
1834,M,466.31907644769353,13,No registrado,No registrado,Física,85000,41,Aceptada,0,4.663190764476935,0,Friday,ANDROID,3,0
1835,M,580.359242352462,18,Restaurante,No registrado,Física,85000,41,Aceptada,0,5.803592423524621,0,Tuesday,WEB,2,0
1836,M,298.5510318011261,10,Farmacia,No registrado,Física,85000,41,En proceso,0,2.686959286210135,0,Monday,%%,5,1
1838,M,322.66633207524296,1,No registrado,No registrado,Física,85000,41,Aceptada,0,3.22666332075243,0,Friday,WEB,1,0
1839,M,831.9168396461209,15,Super,No registrado,Virtual,85000,41,Aceptada,0,16.63833679292242,0,Friday,WEB,1,0
1841,M,210.10809680060623,15,Super,No registrado,Física,85000,41,Aceptada,0,2.1010809680060625,0,Monday,%%,5,0
1842,M,989.274918096897,13,Super,No registrado,Física,85000,41,Aceptada,0,9.89274918096897,0,Saturday,%%,3,0
1843,M,14.688582111954563,19,Restaurante,No registrado,Física,85000,41,Aceptada,0,0.1468858211195456,0,Wednesday,WEB,3,0
1844,M,709.0716410430981,12,No registrado,No registrado,Física,85000,41,En proceso,0,7.090716410430981,0,Monday,WEB,4,0
1845,M,284.3725062252374,4,No registrado,No registrado,Física,85000,41,Aceptada,0,2.843725062252374,0,Saturday,WEB,2,0
1848,M,542.3335184017069,21,No registrado,No registrado,Física,85000,41,Aceptada,0,4.881001665615362,0,Sunday,WEB,3,1
1851,M,506.7040731424812,3,Abarrotes,No registrado,Física,85000,41,Aceptada,0,5.067040731424812,0,Saturday,.,1,0
1852,M,278.59991628230705,4,Farmacia,No registrado,Física,85000,41,En proceso,0,2.7859991628230705,0,Thursday,WEB,3,0
1853,M,627.1597454969611,8,Restaurante,No registrado,Virtual,85000,41,Aceptada,0,12.543194909939222,0,Monday,%%,5,0
1855,M,795.6146821086564,19,MPago,No registrado,Física,85000,41,Aceptada,0,7.160532138977908,0,Tuesday,ANDROID,2,1
1857,F,129.48339792955989,18,No registrado,No registrado,Virtual,28000,56,En proceso,0,2.0717343668729584,0,Monday,WEB,5,1
1858,F,281.4819421125436,17,Super,No registrado,Virtual,28000,56,Aceptada,0,5.066674958025786,0,Thursday,.,2,1
1859,F,619.3638519554476,6,No registrado,No registrado,Física,28000,56,Rechazada,0,6.193638519554476,0,Friday,.,1,0
1860,F,381.60197215903537,7,MPago,No registrado,Física,28000,56,Rechazada,0,3.816019721590354,0,Sunday,ANDROID,2,0
1861,F,145.58314286051322,9,Farmacia,No registrado,Física,28000,56,Rechazada,0,1.455831428605132,0,Tuesday,.,2,0
1862,Error registro,974.299873406354,17,Super,Monterrey,Física,55000,62,Aceptada,1,8.768698860657187,0,Wednesday,WEB,4,1
1863,Error registro,516.4572277327549,20,No registrado,Monterrey,Virtual,55000,62,En proceso,1,9.29623009918959,0,Tuesday,.,1,1
1864,M,659.5421350842917,2,Restaurante,Guadalajara,Física,68000,34,Aceptada,0,6.5954213508429165,0,Sunday,.,5,0
1866,M,875.5445766237468,10,No registrado,Guadalajara,Física,68000,34,Aceptada,0,8.755445766237468,0,Sunday,.,4,0
1867,M,223.4790856562652,6,No registrado,Guadalajara,Física,68000,34,Aceptada,0,2.234790856562652,0,Thursday,WEB,5,0
1868,M,924.2275267861706,3,No registrado,Guadalajara,Virtual,68000,34,Aceptada,0,16.636095482151074,0,Wednesday,ANDROID,1,1
1869,M,894.3199382848725,17,Abarrotes,Guadalajara,Virtual,68000,34,Aceptada,0,17.88639876569745,0,Sunday,ANDROID,2,0
1870,M,790.7320878561615,7,No registrado,Guadalajara,Física,68000,34,Rechazada,0,6.3258567028492925,0,Sunday,WEB,2,1
1871,F,4.412873270680073,17,Restaurante,Monterrey,Física,83000,64,Aceptada,0,0.0397158594361206,0,Sunday,ANDROID,5,1
1874,F,423.9613232420206,18,Restaurante,Monterrey,Virtual,83000,64,En proceso,0,8.479226464840412,0,Saturday,.,3,0
1875,F,650.0395256647962,11,Abarrotes,Monterrey,Virtual,83000,64,Rechazada,0,13.000790513295923,0,Monday,.,2,0
1876,F,431.2502800724101,3,Farmacia,Monterrey,Virtual,83000,64,Rechazada,0,8.625005601448201,0,Sunday,.,5,0
1877,F,635.2668086420972,1,Abarrotes,Monterrey,Física,83000,64,Aceptada,0,5.717401277778875,0,Friday,.,3,1
1880,M,231.41702634878655,16,No registrado,Guadalajara,Virtual,99000,58,Aceptada,1,4.628340526975732,0,Friday,.,2,0
1882,M,396.1213590821809,5,MPago,Guadalajara,Física,99000,58,Aceptada,1,3.9612135908218087,0,Sunday,.,2,0
1883,F,134.52028904508174,14,Abarrotes,No registrado,Física,95000,46,Aceptada,0,1.2106826014057357,0,Thursday,.,3,1
1884,F,637.983287828847,21,Restaurante,No registrado,Física,95000,46,Aceptada,0,6.37983287828847,0,Friday,ANDROID,3,0
1886,F,753.3761906047663,9,No registrado,No registrado,Física,95000,46,Rechazada,0,7.533761906047663,0,Sunday,.,4,0
1887,Error registro,722.1665720831752,10,No registrado,No registrado,Virtual,91000,64,Aceptada,0,14.443331441663505,0,Friday,ANDROID,4,0
1888,Error registro,99.0302895602132,22,Super,No registrado,Física,91000,64,Aceptada,0,0.990302895602132,0,Friday,WEB,5,0
1889,Error registro,626.8989254344744,16,No registrado,No registrado,Física,91000,64,Aceptada,0,6.268989254344745,0,Tuesday,%%,3,0
1890,Error registro,431.63503592029673,17,No registrado,No registrado,Física,91000,64,En proceso,0,4.316350359202968,0,Wednesday,%%,4,0
1893,M,331.0497758419554,17,No registrado,No registrado,Física,86000,44,Aceptada,0,3.310497758419554,0,Thursday,WEB,4,0
1894,M,179.98933870176515,5,No registrado,No registrado,Virtual,86000,44,Aceptada,0,3.599786774035303,0,Monday,WEB,4,0
1895,M,327.7589138501809,17,No registrado,No registrado,Física,86000,44,En proceso,0,2.9498302246516284,0,Wednesday,.,4,1
1896,M,563.8217556977105,5,Farmacia,No registrado,Física,86000,44,Aceptada,0,5.638217556977105,0,Sunday,%%,2,0
1898,M,109.58597584685204,16,No registrado,No registrado,Física,86000,44,En proceso,0,0.8766878067748163,0,Tuesday,.,3,1
1899,M,28.360270114513582,21,Restaurante,No registrado,Física,86000,44,Aceptada,0,0.2552424310306223,0,Saturday,.,1,1
1902,M,560.5461023849913,1,No registrado,No registrado,Física,86000,44,Aceptada,0,5.044914921464922,0,Tuesday,WEB,5,1
1903,M,116.20911106325671,14,No registrado,No registrado,Física,86000,44,Aceptada,0,1.0458819995693105,0,Monday,WEB,1,1
1906,M,217.0543991357179,3,No registrado,No registrado,Física,86000,44,Aceptada,0,1.953489592221461,0,Thursday,.,2,1
1908,M,253.7040507263708,8,No registrado,No registrado,Virtual,86000,44,Aceptada,0,5.074081014527416,0,Friday,.,1,0
1909,M,28.16373573388564,2,Restaurante,No registrado,Física,86000,44,Aceptada,0,0.2534736216049708,0,Saturday,%%,5,1
1910,M,834.1150798970428,3,Restaurante,No registrado,Física,86000,32,Rechazada,0,7.507035719073386,0,Wednesday,%%,1,1
1911,M,913.9273526987618,17,No registrado,No registrado,Física,86000,32,Aceptada,0,9.139273526987616,0,Monday,ANDROID,1,0
1914,F,572.6463993583684,19,Farmacia,Merida,Virtual,87000,59,En proceso,0,10.307635188450632,0,Friday,WEB,3,1
1918,F,572.2589080220282,21,MPago,Merida,Física,87000,59,Rechazada,0,5.722589080220282,1,Thursday,.,5,0
1919,F,869.9434575915252,2,Restaurante,Merida,Física,87000,59,Aceptada,0,8.699434575915252,0,Thursday,ANDROID,1,0
1920,F,582.7358783734543,18,MPago,Merida,Virtual,87000,59,Aceptada,0,11.654717567469088,0,Wednesday,WEB,4,0
1921,F,306.5920064490055,5,Farmacia,Merida,Virtual,87000,59,Aceptada,0,6.131840128980111,0,Saturday,%%,3,0
1922,F,24.954986341943595,19,No registrado,Merida,Física,87000,59,Aceptada,0,0.1996398907355487,0,Friday,.,4,1
1923,F,639.2808617940792,11,No registrado,Merida,Física,87000,59,Aceptada,0,6.392808617940792,1,Wednesday,.,1,0
1924,F,419.799004603462,17,No registrado,Merida,Física,87000,59,Aceptada,0,4.19799004603462,0,Friday,ANDROID,3,0
1925,F,272.9755065012809,4,No registrado,Merida,Virtual,87000,59,En proceso,0,4.913559117023057,0,Sunday,.,1,1
1926,F,760.8285686267304,2,No registrado,Merida,Física,87000,59,Aceptada,0,7.608285686267305,0,Thursday,ANDROID,1,0
1927,F,147.46393897574293,4,Farmacia,Merida,Física,87000,59,Aceptada,0,1.4746393897574297,0,Tuesday,%%,1,0
1930,F,429.2450951155964,2,No registrado,Merida,Virtual,87000,59,Aceptada,0,7.7264117120807345,0,Friday,WEB,1,1
1933,F,390.75396538501,23,Restaurante,Merida,Física,87000,59,Aceptada,0,3.9075396538501,0,Thursday,ANDROID,1,0
1934,F,83.97806575441436,17,Abarrotes,Merida,Física,87000,59,Aceptada,0,0.8397806575441437,0,Saturday,WEB,5,0
1935,F,802.2235590295461,12,No registrado,Merida,Física,87000,59,Aceptada,0,8.02223559029546,0,Saturday,WEB,1,0
1936,F,733.696329693045,17,MPago,Merida,Física,87000,59,Rechazada,0,7.33696329693045,0,Thursday,WEB,2,0
1938,F,767.170387469118,13,No registrado,Merida,Física,87000,59,Aceptada,0,6.904533487222063,0,Tuesday,ANDROID,3,1
1940,M,544.1259162207734,4,No registrado,Monterrey,Virtual,29000,39,Aceptada,1,10.88251832441547,0,Monday,.,2,0
1941,M,593.0763410076013,19,No registrado,Monterrey,Física,29000,39,Aceptada,1,5.337687069068412,0,Saturday,%%,1,1
1943,M,639.1688273360725,9,No registrado,Monterrey,Física,29000,39,Aceptada,1,6.3916882733607245,0,Sunday,ANDROID,5,0
1944,M,407.1155887624942,16,Super,Monterrey,Virtual,29000,39,En proceso,1,8.142311775249885,0,Monday,%%,2,0
1945,M,516.0289095744745,17,Abarrotes,Monterrey,Virtual,29000,39,Aceptada,1,10.32057819148949,0,Wednesday,ANDROID,2,0
1946,M,195.9646485072392,17,No registrado,Monterrey,Física,29000,39,Aceptada,1,1.959646485072392,0,Wednesday,WEB,5,0
1947,M,147.01450373165935,17,Farmacia,Monterrey,Física,29000,39,En proceso,1,1.470145037316594,0,Thursday,%%,3,0
1948,M,808.7111984811074,6,Super,Monterrey,Física,29000,39,Aceptada,1,7.278400786329967,0,Saturday,.,4,1
1949,M,46.39347450029763,5,Super,Monterrey,Virtual,29000,39,Aceptada,1,0.8350825410053573,0,Saturday,.,3,1
